buyer,date_end,date_ordered,description,expected_delivery_days,extend_delivery,extras_amount,extras_price,gig,includes,order_link,stars,status,total
nicolas582,23/05/2024,22/05/2024,Actualización en bot para indicar tiempo de actualización desde archivo de configuraciones  y corregir fecha de expiración de cookies,2,0,0,0,do web automation bot,1 page mined/scraped | 1 source mine/scraped | Install script | Task automation | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO618AB652D82,0,Completed,15.0
joseantonioe833,22/05/2024,20/05/2024,Actualizar proyecto kofi-api-nyx,3,0,0,0,"do a script for web scraping, data mining from website",1 page scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO424FC62ACC8,0,Completed,30.0
brauliofiloteo,16/05/2024,13/05/2024,Ajustar contenido de página web,1,1,2,10.0,"create your web page  fast, responsive, contact forms, animations, customization",2 pages | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO3127665F543,0,Completed,10.0
brauliofiloteo,25/04/2024,24/04/2024,borrar contenido de página web,1,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",2 pages | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO2C41DECC42,0,Completed,10.0
brauliofiloteo,16/04/2024,15/04/2024,borrar contenido en página web,2,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO4125893EE42,5,Completed,10.0
bernardo2810,14/04/2024,08/04/2024,Bot para extraer productos de https://6pm.com/,8,0,2,180.0,"do web scraping, data mining any website",1 source scraped | Formatting & clean up | 1 Revision | Extraer todas las combiaciones de colores y tallas para obtener stock,https://www.fiverr.com/users/darideveloper/manage_orders/FO2C35F92242,0,Completed,150.0
bernardo2810,08/04/2024,07/04/2024,Prueba de acceso de web scraping  para página https://www.6pm.com/,2,0,0,0,"do web scraping, data mining any website",1 source scraped | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO3C354E3241,0,Completed,10.0
nicolas582,14/04/2024,07/04/2024,bot para aceptar ofertas en boosting factory,7,1,3,120.0,"do web scraping, data mining any website",1 source scraped | 1 page scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO3C3516B741,4.3,Completed,110.0
lilianam858,23/04/2024,03/04/2024,Página web en base a infomación proporcionada por el cliente  y diseño https://www.elegantthemes.com/layouts/lifestyle/home-organizer-landing-page/live-demo,20,0,3,370.0,"create your web page  fast, responsive, contact forms, animations, customization",Content upload | Functional website | Speed optimization | Hosting setup | 2 revisions | Página de About us y Anti spam | Botón flotante de whatsapp,https://www.fiverr.com/users/darideveloper/manage_orders/FO118653EFD87,5,Completed,310.0
ignacio_adt,10/04/2024,03/04/2024,3º Extración BBDD embajadas,12,0,0,0,"do web scraping, data mining any website",1 source scraped | 1 page scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO16190BF201,0,Completed,83.0
ignacio_adt,10/04/2024,03/04/2024,2º Herramienta de Kit Digital + extracción de BBDD,9,0,0,0,"do web scraping, data mining any website",1 source scraped | 1 page scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO2C3217D042,0,Completed,83.0
ignacio_adt,05/04/2024,03/04/2024,1º Extracción BBDD Incibe,5,0,0,0,"do web scraping, data mining any website",1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO31E7D32E607,0,Completed,84.0
dejurado,08/04/2024,02/04/2024,Extract podcast from media.ascensionpress.com,7,0,0,0,"do web scraping, data mining any website",1 source scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO31E7C876C87,5,Completed,150.0
joseantonioe833,05/04/2024,02/04/2024,Cambios en web https://www.nyxtrackers.com/,3,0,0,0,convert design to website with hosting and domain,1 page | Responsive design | Server upload | Browser compatibility | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO1124AADC2C5,0,Completed,50.0
abelsotovaldez,21/03/2024,20/03/2024,Convertir diseño proporcionado por el cliente  a página web responsive,1,0,0,0,convert design to website with hosting and domain,1 page | Responsive design | Slider/scroller | Server upload | Unlimited revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO61E6549D304,5,Completed,5.0
abelsotovaldez,21/03/2024,20/03/2024,Script para extraer datos de https://www.xvideos.com/,2,0,0,0,"do web scraping or web automation and save data in excel, csv, json or database",1 source scraped | 1 page scraped | Formatting & clean up | Unlimited revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO524798A2CC7,5,Completed,5.0
brauliofiloteo,16/03/2024,15/03/2024,borrar contenido en página web,1,0,0,0,convert design to website with hosting and domain,1 page | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO31237298343,0,Completed,10.0
boris_1988,20/03/2024,12/03/2024,Bot de web scraping para página https://upcp-compranet.hacienda.gob.mx e información de salida en excel proporcionado por el cliente.  Incluye información extraida.,8,1,3,234.0,"do web scraping, data mining any website",1 source scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO31E5595CB87,4.7,Completed,207.0
boris_1988,12/03/2024,12/03/2024,,10,0,0,0,provide a consultation video call and written summary,,https://www.fiverr.com/users/darideveloper/manage_orders/FO82A7767CA46,5,Completed,5.0
ignacio_adt,12/03/2024,11/03/2024,bot de web scraping para https://www.embassypages.com/spain (ignora el nombre del gig),3,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",1 page | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO21841D3A786,0,Completed,195.0
ignacio_adt,03/03/2024,27/02/2024,scraper para buscar negocios en la página de incibe  y guardar información en excel  instalación remota o versión portable incluida,7,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO41222718F42,0,Completed,140.0
lzunigar,24/02/2024,15/02/2024,Landing page wordpress con dominio .com (a revisar disponibilidad) y primer mes de hosting,7,1,2,120.0,convert design to website with hosting and domain,1 page | Responsive design | Server upload | Browser compatibility | 2 revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO2C0E45CF42,5,Completed,120.0
lzunigar,15/02/2024,15/02/2024,,1,0,0,0,"create your web page, with hosting and domain, fast, responsive, animations",,https://www.fiverr.com/users/darideveloper/manage_orders/FO11214E87BC5,4.7,Completed,10.0
abrahamalvarezb,08/02/2024,02/02/2024,Bot para extraer números de teléfono  nombre del negocio  página web y código postal  de negocios en Google maps y guardar los datos en Google sheets o excel (solo uno  a indicar por el cliente),7,0,0,0,"do web scraping, data mining any website",1 source scraped | 1 page scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO21808E55986,0,Completed,60.0
romanome,02/02/2024,30/01/2024,landing page en WordPress con formulario de contacto,7,0,2,150.0,"create your web page  fast, responsive, contact forms, animations, customization",1 page | Content upload | Functional website | Speed optimization | 2 revisions | Botón flotante,https://www.fiverr.com/users/darideveloper/manage_orders/FO81E047F1082,0,Completed,125.0
alvaroreyesenca,30/01/2024,29/01/2024,Actualización de dependencias y proceso de extracción en proyecto Breached Forum Other Leaks Notifications,3,0,0,0,create a script for extract data from any page,Formatting & clean up | Source code | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO71801E40B81,0,Completed,30.0
j_rodriguez0,31/01/2024,22/01/2024,,10,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",,https://www.fiverr.com/users/darideveloper/manage_orders/FO511F907D741,0,Completed,170.0
albanidia831,14/02/2024,19/01/2024,,7,1,5,410.0,convert design to website with hosting and domain,Responsive design | Slider/scroller | Custom admin panel | Server upload | Browser compatibility | Footer y Página de Terminos y Condiciones,https://www.fiverr.com/users/darideveloper/manage_orders/FO317F2D46B85,0,Completed,265.0
macatas,16/01/2024,14/01/2024,Bot para extración de precio total de caceta en página de gobierno  que lea y guarde la información en un archivo .xlsx,7,0,0,0,"do web scraping, data mining any website",1 source scraped | 1 page scraped | Formatting & clean up | 2 Revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO71DE58B8F03,5,Completed,90.0
joseantonioe833,05/01/2024,04/01/2024,Actualizar proyecto de kofi para añadir contador de facturas en el excel,3,0,0,0,"do web scraping or web automation and save data in excel, csv, json or database",Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO21DD1B98908,0,Completed,20.0
dejurado,05/01/2024,28/12/2023,Message bot for Tiktok Shop,12,0,0,0,"do web scraping, data mining any website",Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO2BE9998C42,5,Completed,240.0
joseantonioe833,25/12/2023,20/12/2023,(ignora el nombre del gig)   Actualización del proyecto Kofi para generar pdfs y almacenarlos en Google drive,7,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",Content upload | Hosting setup | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO423AEDC0CC8,0,Completed,220.0
davidruber,12/12/2023,04/12/2023,"Extraer y guardar datos en base a la información proporcionada en el documento de word  en la sección ""Macro for downloading New Filings  Completed Offerings  Pending S-1s and Reverse Split""  Añadiendo columna de fecha e información completa de noncomplain",4,1,2,75.0,create a script for extract data from any page,Formatting & clean up | Source code | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO511C6267941,5,Completed,75.0
jhonwalther,26/11/2023,20/11/2023,prueba de acceso para web scraping en la web vevor.mx,6,0,0,0,"do web scraping, data mining any website",1 source scraped | 1 page scraped | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO4179E7A9784,5,Completed,20.0
deeplawn,20/11/2023,18/11/2023,"Update project ""phone emails scraper""  (ignore the gig's name)",5,0,0,0,convert design to website with hosting and domain,1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO5236995ECC7,0,Completed,50.0
davidruber,04/12/2023,13/11/2023,Extracción de web scraping y almacenamiento de información en base de datos ya diseñada.,10,1,3,590.0,create a script for extract data from any page,Formatting & clean up | Source code | 2 revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO31D78D56487,5,Completed,590.0
victoriacullen0,14/11/2023,12/11/2023,Wordpress page with questions who change each time the page loads,5,0,2,220.0,"create your web page  fast, responsive, contact forms, animations, customization",Content upload | 1 page | Functional website | Hosting setup | 2 revisions | Add “Questions” and “Dares” feature,https://www.fiverr.com/users/darideveloper/manage_orders/FO7235B7245C5,5,Completed,185.0
joseantonioe833,09/11/2023,09/11/2023,Update pack-link-bot,2,0,0,0,convert design to website with hosting and domain,Unlimited revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO3BC6F91941,0,Completed,20.0
brauliofiloteo,07/11/2023,06/11/2023,corregir enlaces y actualizar contenido de página wordpress,2,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",4 pages | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO71789373D81,5,Completed,20.0
davidruber,10/11/2023,06/11/2023,Diseñar base de datos en base a documentos enviados para sistema de web scraping  (ignora el nombre del gig),5,0,2,210.0,"create your web page, with hosting and domain, fast, responsive, animations",2 revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO7234D9CD4C5,5,Completed,180.0
brauliofiloteo,06/11/2023,06/11/2023,,10,0,0,0,provide a consultation video call and written summary,,https://www.fiverr.com/users/darideveloper/manage_orders/FO511A637E241,0,Completed,5.0
davidruber,04/11/2023,03/11/2023,prueba de acceso de web scraping con python,3,0,0,0,"do web scraping, data mining any website",1 source scraped | 1 page scraped | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO42346D40AC8,0,Completed,80.0
cakestoremommy,22/10/2023,21/10/2023,Actualización de imagenes en https://cakestoremommy.com/gallery,1,0,0,0,convert design to website with hosting and domain,1 page | Server upload | Browser compatibility | Unlimited revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO21D4D934D08,5,Completed,10.0
cakestoremommy,18/10/2023,17/10/2023,"Sección de ""Flavors"" en el home page",2,0,0,0,convert design to website with hosting and domain,1 page | Responsive design | Server upload | Browser compatibility | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO7176A692381,0,Completed,28.0
cakestoremommy,16/10/2023,15/10/2023,Configurar dominio cakestoremommy.com,3,0,0,0,convert design to website with hosting and domain,Server upload | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO31D41BD0707,5,Completed,10.0
joseantonioe833,16/10/2023,13/10/2023,Add unsuscribe option to service email,5,0,0,0,convert design to website with hosting and domain,1 page | Server upload | Browser compatibility,https://www.fiverr.com/users/darideveloper/manage_orders/FO623178990C6,0,Completed,30.0
cakestoremommy,16/10/2023,12/10/2023,"Cambios en ""/order"" de la página https://cakestoremommy.vercel.app/  * Barra de scroll * En la sección ""size"" desplazar hacia abajo al seleccionar una ""layer"" * Añadir etiquetas encima de los selectores de ""size"" * Opción por defecto (Select layer / Select diameter) en los selectores de ""size"" * Deslizar hacia abajo al dar click en los botones de ""flavor"" * Desplazarse entre las secciones anteriores  al dar click en los botones de ""flavors""",2,1,2,55.0,"create your web page, with hosting and domain, fast, responsive, animations",Functional website | 1 page | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO15D8ED8B81,5,Completed,55.0
cakestoremommy,11/10/2023,10/10/2023,"Actualización de la sección ""flavors"" en la página ""order""  * desplazarse hacia arriba al cambiar sección * mostrar la opción seleccionada en las pestañas * texto dinámico ""pick a (cake flavor / filling / frosting)"" * quitar botón de ""finalizar"" y desplazar automáticamente a la siguiente sección",3,0,0,0,convert design to website with hosting and domain,1 page | Responsive design | Server upload | Browser compatibility | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO51D383D0905,5,Completed,25.0
cakestoremommy,15/10/2023,28/09/2023,,6,0,4,1057.0,"create your web page, with hosting and domain, fast, responsive, animations",Social media icons | Functional website | 1 page,https://www.fiverr.com/users/darideveloper/manage_orders/FO81D22025502,5,Completed,604.0
xenon254,22/09/2023,20/09/2023,Prueba de web scraping para Booking.com y  Tripadvisor: comrpobar que sea posible acceder a la página y consultar la información con herramientas de web scraping (sin derecho a devolución),3,0,0,0,create a script for extract data from any page,Source code | Formatting & clean up | Unlimited revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO31D1068AD87,4,Completed,20.0
cakestoremommy,16/09/2023,12/09/2023,Update gallery images,1,0,2,35.0,convert design to website with hosting and domain,1 page | Responsive design | Server upload | Browser compatibility | 1 revision | Actualizar imágenes y cambiar layout de página Gallery,https://www.fiverr.com/users/darideveloper/manage_orders/FO1B9A999C43,5,Completed,20.0
joseantonioe833,12/09/2023,07/09/2023,Actualizar bots para borrar a clientes que ya hicieron compras del mail list,8,0,0,0,create a script for extract data from any page,API integration | Source code | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO4172C252584,0,Completed,25.0
joseantonioe833,01/09/2023,01/09/2023,Add analytics and update texts,2,0,0,0,convert design to website with hosting and domain,1 page | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO11724A29987,0,Completed,5.0
joseantonioe833,20/08/2023,16/08/2023,Cambios en NYX y bot para envío de correos,5,0,0,0,convert design to website with hosting and domain,1 page | Responsive design | Server upload | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO71CCE3B0203,0,Completed,54.0
cakestoremommy,15/08/2023,14/08/2023,Update buttons,1,0,0,0,convert design to website with hosting and domain,Responsive design | 1 page | Browser compatibility | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO6228C6B85C6,5,Completed,5.0
joseantonioe833,14/08/2023,13/08/2023,Cambios en nyx trackers,2,0,0,0,convert design to website with hosting and domain,1 page | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO82289F2C4C4,5,Completed,5.0
norman_cm,09/08/2023,08/08/2023,Bot para comprobar inicio de sesión de de la página https://controlcontratistas.previred.com/wControlContratistas/pages/login/Login.jsf   con credenciales proporcionadas por el cliente,1,0,0,0,create a script for extract data from any page,Source code | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO516FED93183,0,Completed,20.0
joseantonioe833,13/08/2023,08/08/2023,Bot Pack LInk Pro  Bot para automatizar el proceso de creación de borradores  usando kofi y packlink pro,7,0,0,0,create a script for extract data from any page,Formatting & clean up | Source code | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO81CBE601A02,0,Completed,140.0
joseantonioe833,03/08/2023,03/08/2023,Nueva sección en http://nyxtrackers.com/,1,0,2,50.0,"create your web page  fast, responsive, contact forms, animations, customization",1 page | Content upload | Hosting setup | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO1B7BCF9643,5,Completed,35.0
maguirod,04/08/2023,03/08/2023,Asesoría de desarrollo web,3,0,0,0,convert design to website with hosting and domain,Unlimited revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO41CB5352886,0,Completed,10.0
anaia29,05/08/2023,03/08/2023,Smal landing page or contact form,4,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",Functional website | 1 page | 2 revisions | Content upload | Opt-in form | Speed optimization | Hosting setup | 1 Commercially licensed image | Social media icons,https://www.fiverr.com/users/darideveloper/manage_orders/FO216F6272186,0,Completed,85.0
joseantonioe833,03/08/2023,01/08/2023,Web Service para detectar ventas de Kofi en tiempo real  guardar los datos en Google sheets y enviar correo HTML de confirmación,3,0,0,0,"create your web page, with hosting and domain, fast, responsive, animations",1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO7226CE777C5,0,Completed,45.0
joseantonioe833,27/07/2023,27/07/2023,Vincular google analytics a la página nyxtrackers.com,1,0,0,0,convert design to website with hosting and domain,1 page | Unlimited revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO82DD8587308,5,Completed,20.0
joseantonioe833,24/07/2023,22/07/2023,Actualizaciones en página http://nyxtrackers.com/,5,0,0,0,"create your web page, with hosting and domain, fast, responsive, animations",Social media icons | Functional website | 1 page | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO616E47C5982,5,Completed,45.0
cakestoremommy,16/07/2023,14/07/2023,página de galería con cuadrícula de imágenes y categorías,5,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",1 page | Content upload | Functional website | Speed optimization | Hosting setup | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO82DB0B76B08,0,Completed,110.0
cakestoremommy,10/07/2023,09/07/2023,añadir botones de contacto (WhatsApp y teléfono) a página web,2,0,2,25.0,convert design to website with hosting and domain,"1 page | Responsive design | Server upload | Browser compatibility | 1 revision | Editar video de animación, para formato 4:5 (aproximadamente), y actualizar en la página web",https://www.fiverr.com/users/darideveloper/manage_orders/FO31C82E2B507,0,Completed,15.0
c_php_python,01/07/2023,30/06/2023,,1,0,0,0,"do web scraping or web automation and save data in excel, csv, json or database",,https://www.fiverr.com/users/darideveloper/manage_orders/FO21C73869688,5,Completed,10.0
cakestoremommy,01/07/2023,30/06/2023,Actualizar fuentes no variantes,1,0,0,0,convert design to website with hosting and domain,1 page | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO727D40E3C47,0,Completed,10.0
cakestoremommy,26/06/2023,21/06/2023,Crear página web en base al diseño: https://fiverr-res.cloudinary.com/image/upload/f_pdf q_auto/v1/secured-attachments/messaging_message/attachment/4e0c1a93a496110859e4d44b42bae245-1687388072787/FIRST%20PAGE.pdf?__cld_token__=exp=1687423075~hmac=ef3e53e887e015e7a7d1e93d63412a8c8b4ecee3b5b26494e3d7e410bb4f255e,7,0,2,135.0,"create your web page, with hosting and domain, fast, responsive, animations",Functional website | 1 page | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO81C62AA0682,5,Completed,115.0
dejurado,07/06/2023,01/06/2023,bot for submit message to the new followers,8,0,0,0,"do web scraping or web automation and save data in excel, csv, json or database",1 source scraped | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO82D2B16CF08,0,Completed,80.0
rupert_dev,29/05/2023,29/05/2023,,1,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",,https://www.fiverr.com/users/darideveloper/manage_orders/FO3B47CB9541,0,Completed,10.0
joseantonioe833,25/05/2023,25/05/2023,Cambios en web http://nyxtrackers.com/,3,0,0,0,convert design to website with hosting and domain,1 page | Responsive design | Server upload | Browser compatibility | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO510E701EBC1,5,Completed,50.0
dejurado,24/05/2023,15/05/2023,Instagram Poster Bot,12,0,0,0,"create your web page, with hosting and domain, fast, responsive, animations",1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO41C18881106,0,Completed,110.0
adriandavidfazn,20/05/2023,13/05/2023,Página web de sorteos  con panel de aminsitración  basada en https://www.combossonora.com/s88-lista + hosting del primer mes,8,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",2 pages | Content upload | Functional website | Speed optimization | Hosting setup | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO1B3B8B3143,5,Completed,125.0
dirkdirk2015,14/05/2023,13/05/2023,Changes in page https://powerpointpoesie.ch/,3,0,2,35.0,"create your web page, with hosting and domain, fast, responsive, animations",3 pages | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO7167687B781,5,Completed,25.0
dejurado,02/05/2023,02/05/2023,"Create dashboard and use remote database for manage ""Instagram follow bot 2"" project (35% progress)",1,0,0,0,"create your web page, with hosting and domain, fast, responsive, animations",Unlimited revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO421964E81C8,0,Completed,110.0
dejurado,27/04/2023,25/04/2023,"(ignore the gig name)  Update Instagram Bot 2:   - Active Following and Liking Etc during ""running_time"" option - Once the ""running_time"" has elapsed  we can run the Unfollow and the messaging sequences. This way they are done once day",3,0,2,35.0,"create your web page  fast, responsive, contact forms, animations, customization",1 revision | A Custom Order,https://www.fiverr.com/users/darideveloper/manage_orders/FO110C240AAC5,5,Completed,25.0
dejurado,24/04/2023,18/04/2023,Update Instagram bot to:   1) New Phase: So the new sequence would be 1. Like + Follow Sequence  2. Then Block sequence for users that havent followed back after 3 days 3  Unfollow sequence will be disabled for now  2) Then we will send a DM to new followers (this will be a standard msg) This can be every 1.5 hours,7,0,0,0,do script for email automation,Source code | Detailed code comments,https://www.fiverr.com/users/darideveloper/manage_orders/FO3164DAC7785,5,Completed,150.0
dirkdirk2015,18/04/2023,16/04/2023,Changes in page https://powerpointpoesie.ch/,4,0,2,45.0,"create your web page, with hosting and domain, fast, responsive, animations",Functional website | 4 pages | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO116496B2387,5,Completed,35.0
dejurado,16/04/2023,14/04/2023,Update Instagram bot 2 for be able multiple bots at the same time  the proxies implementation and a bat script to run the bots.,5,0,0,0,do script for email automation,Source code | Detailed code comments | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO410B553CA42,0,Completed,120.0
dirkdirk2015,14/04/2023,13/04/2023,Add contact form,3,0,0,0,convert design to website with hosting and domain,3 pages | Responsive design | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO210B3EE7044,5,Completed,30.0
dirkdirk2015,14/04/2023,13/04/2023,"Change in page:   ""one order regarding to subpage 3: Putzfrau. same procedure: 1. place video same place as the others https://powerpointpoesie.ch/putzfrau_video.mp4 2. move existing text below video (without image  without pattern 3. BUCHEN (same as others) - write above: 60 min (same place and kind as others)""",2,0,0,0,"create your web page, with hosting and domain, fast, responsive, animations",1 page | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO15914E7181,5,Completed,15.0
dejurado,12/04/2023,09/04/2023,Merge Instagram follow classic and Instagram follow advanced  and add a new auto-unfollow system,7,0,0,0,do script for email automation,Source code | Detailed code comments | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO626EC4AB348,5,Completed,210.0
dirkdirk2015,12/04/2023,09/04/2023,Update videos an texts in page https://powerpointpoesie.ch/  fix horizontal scroll in pc,5,0,0,0,convert design to website with hosting and domain,2 pages | Responsive design | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO3163CFAD785,5,Completed,40.0
sadb0y,07/04/2023,07/04/2023,(ignore the gig name) Script for download multiple links from .txt file  using the library https://github.com/iheanyi/bandcamp-dl,3,0,0,0,"create your web page, with hosting and domain, fast, responsive, animations",Unlimited revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO3163A274385,0,Completed,30.0
dejurado,03/04/2023,28/03/2023,Twitter follow bot,7,0,0,0,do script for email automation,Source code | Detailed code comments | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO826C94ECD46,5,Completed,150.0
